j,t,mu,f,delta f,GPD type,flavor
4,-2.29,2,-0.0022567,0.019427149334758947,1,S
4,-0.34,2,0.0131882,0.021239964018389953,1,S
4,-0.81,2,0.0030892,0.011675988606045315,1,S
4,-1.52,2,0.0050391,0.017115198922251093,1,S
4,-1.24,2,0.0094877,0.011792262081506034,1,S
4,-0.69,2,0.0087845,0.05788716894022824,1,S
4,-1.38,2,0.0017667,0.0056264573059247504,1,S
4,-2.77,2,0.0085708,0.0057175000534871005,1,S
0,-0.17,2,1.964229,0.33180240149633106,1,NS
0,-0.65,2,1.10729,0.1749174901199237,1,NS
0,-1.38,2,0.5606694,0.09539672810431288,1,NS
0,-2.29,2,0.3059459,0.09764862281446075,1,NS
0,-0.34,2,1.547214,0.2607280294970412,1,NS
0,-0.81,2,0.8947223,0.14909236765553063,1,NS
0,-1.52,2,0.4429384,0.09820593219597328,1,NS
0,-1.24,2,0.6087222,0.1075566356051778,1,NS
0,-0.69,2,1.072639,0.1665058750458211,1,NS
0,-1.38,2,0.519816,0.08557354908604935,1,NS
0,-2.77,2,0.1985559,0.036504086000160654,1,NS
1,-0.17,2,0.2466721,0.05235823647406609,1,NS
1,-0.65,2,0.1920324,0.03607636932923822,1,NS
1,-1.38,2,0.1139544,0.026468842151588345,1,NS
1,-2.29,2,0.084593,0.03849598492111742,1,NS
1,-0.34,2,0.2564657,0.051833052537266465,1,NS
1,-0.81,2,0.1638386,0.03460437624755719,1,NS
1,-1.52,2,0.0829763,0.024842768226154367,1,NS
1,-1.24,2,0.1242316,0.028911729396111883,1,NS
1,-0.69,2,0.214816,0.036329053349914035,1,NS
1,-1.38,2,0.1144524,0.02214684939985821,1,NS
1,-2.77,2,0.0672468,0.014113889913699376,1,NS
2,-0.17,2,0.1138918,0.03296802206062414,1,NS
2,-0.65,2,0.0786558,0.01917063724702442,1,NS
2,-1.38,2,0.0576034,0.014592391964753414,1,NS
2,-2.29,2,0.0359438,0.020942777620502017,1,NS
2,-0.34,2,0.0649295,0.021551470202367286,1,NS
2,-0.81,2,0.0458914,0.014506813459216329,1,NS
2,-1.52,2,0.0168267,0.018745728599895095,1,NS
2,-1.24,2,0.0395315,0.016888557088491157,1,NS
2,-0.69,2,0.0608347,0.014915300253126821,1,NS
2,-1.38,2,0.0307582,0.00876387981727665,1,NS
2,-2.77,2,0.0176223,0.006212108254961515,1,NS
3,-0.17,2,0.0344191,0.017696687510862733,1,NS
3,-0.65,2,0.0313644,0.010437637845938562,1,NS
3,-1.38,2,0.0209866,0.009778112320914707,1,NS
3,-2.29,2,0.0314542,0.020913266160667014,1,NS
3,-0.34,2,0.0408709,0.014194499879859277,1,NS
3,-0.81,2,0.0190085,0.009347287133624869,1,NS
3,-1.52,2,0.0011282,0.01191497185921142,1,NS
3,-1.24,2,0.0129086,0.008862979939588941,1,NS
3,-0.69,2,0.0209364,0.01256914141267016,1,NS
3,-1.38,2,0.0159037,0.0061713129507159166,1,NS
3,-2.77,2,0.0107396,0.004534591405321542,1,NS
4,-0.17,2,0.0329829,0.026431762815433347,1,NS
4,-0.65,2,0.0218556,0.014788628226377184,1,NS
4,-1.38,2,0.0162827,0.009883763070270857,1,NS
4,-2.29,2,0.0053943,0.015927086806488654,1,NS
4,-0.34,2,0.0102351,0.015970733704283126,1,NS
4,-0.81,2,0.0053245,0.01126750190864084,1,NS
4,-1.52,2,0.0003866,0.019802734908658453,1,NS
4,-1.24,2,0.0045934,0.013191745918099696,1,NS
4,-0.69,2,0.0074222,0.010317175810937797,1,NS
4,-1.38,2,0.0014763,0.0063898453261463225,1,NS
4,-2.77,2,0.0004206,0.004826857330202023,1,NS
0,-0.17,2,0.5543296,0.09077147098696649,2,S
0,-0.65,2,0.4270359,0.07083826554174746,2,S
0,-1.38,2,0.3131548,0.0575698481601654,2,S
0,-2.29,2,0.2306236,0.07326004147454464,2,S
0,-0.34,2,0.5305209,0.08980682184841987,2,S
0,-0.81,2,0.4068024,0.06979176802905698,2,S
0,-1.52,2,0.2170841,0.0439737703015596,2,S
0,-1.24,2,0.2964588,0.058014063256713884,2,S
0,-0.69,2,0.4243142,0.06697044595376232,2,S
0,-1.38,2,0.289949,0.048139197837514906,2,S
0,-2.77,2,0.1997118,0.034670222864303886,2,S
1,-0.17,2,0.1838451,0.03001974370085836,2,S
1,-0.65,2,0.1617174,0.02671646532956222,2,S
1,-1.38,2,0.1354616,0.023958922534412935,2,S
1,-2.29,2,0.1213991,0.034526432277572856,2,S
1,-0.34,2,0.1497136,0.02815260364877821,2,S
1,-0.81,2,0.1469205,0.02605150296266465,2,S
1,-1.52,2,0.1180945,0.0211422231948446,2,S
1,-1.24,2,0.1134092,0.02173685757952377,2,S
1,-0.69,2,0.1566835,0.026461306121959002,2,S
1,-1.38,2,0.118956,0.02058756190781463,2,S
1,-2.77,2,0.0766194,0.014893775804011689,2,S
2,-0.17,2,0.0718346,0.012764116289214698,2,S
2,-0.65,2,0.0654039,0.011279768500996198,2,S
2,-1.38,2,0.0467979,0.010242235102266937,2,S
2,-2.29,2,0.0328498,0.013569840881930046,2,S
2,-0.34,2,0.0753115,0.013216753741547354,2,S
2,-0.81,2,0.0620059,0.010755718148074772,2,S
2,-1.52,2,0.0432049,0.009860089581692145,2,S
2,-1.24,2,0.0568654,0.011009996798462932,2,S
2,-0.69,2,0.0534893,0.009360526367877021,2,S
2,-1.38,2,0.046512,0.00846056221973079,2,S
2,-2.77,2,0.0360885,0.007616344912359537,2,S
3,-0.17,2,0.0364194,0.010986448354789687,2,S
3,-0.65,2,0.0322189,0.009301789850534896,2,S
3,-1.38,2,0.0278184,0.008067899742660168,2,S
3,-2.29,2,0.0298224,0.01423311563174065,2,S
3,-0.34,2,0.0320016,0.010288365558620133,2,S
3,-0.81,2,0.0303465,0.009330649976902252,2,S
3,-1.52,2,0.0216891,0.007871789286829836,2,S
3,-1.24,2,0.0254212,0.008026157585508087,2,S
3,-0.69,2,0.032776,0.009668427763745716,2,S
3,-1.38,2,0.0261747,0.007492389252823227,2,S
3,-2.77,2,0.0178185,0.006148549782058286,2,S
4,-0.17,2,0.0161535,0.006347773576991699,2,S
4,-0.65,2,0.0140443,0.0048560850509753225,2,S
4,-1.38,2,0.0078663,0.005223490997943904,2,S
4,-2.29,2,0.002331,0.011401552597721066,2,S
4,-0.34,2,0.0191909,0.007105550149856449,2,S
4,-0.81,2,0.0155297,0.005086835333926291,2,S
4,-1.52,2,0.0130288,0.005995801676327277,2,S
4,-1.24,2,0.0133705,0.006367727364772616,2,S
4,-0.69,2,0.0097242,0.003743924078038442,2,S
4,-1.38,2,0.0089223,0.0038198772757151505,2,S
4,-2.77,2,0.0039124,0.004184806736613891,2,S
0,-0.17,2,0.9897247,0.1562136123169358,2,NS
0,-0.65,2,0.7331391,0.11474197746425771,2,NS
0,-1.38,2,0.48514,0.07896951648466959,2,NS
0,-2.29,2,0.347768,0.08437407265548405,2,NS
0,-0.34,2,0.8265755,0.13219378648758695,2,NS
0,-0.81,2,0.6088923,0.09673557177065956,2,NS
0,-1.52,2,0.3507407,0.06302751877800224,2,NS
0,-1.24,2,0.4909431,0.08279942417015185,2,NS
0,-0.69,2,0.699256,0.10866530441039632,2,NS
0,-1.38,2,0.5022948,0.07834674157146104,2,NS
0,-2.77,2,0.2743718,0.04694862379817858,2,NS
1,-0.17,2,0.2618061,0.04360606412967496,2,NS
1,-0.65,2,0.2234399,0.037315575376299974,2,NS
1,-1.38,2,0.1806478,0.03171735718212506,2,NS
1,-2.29,2,0.161183,0.041303160033804916,2,NS
1,-0.34,2,0.2153858,0.036316660514553095,2,NS
1,-0.81,2,0.191521,0.03239952890066459,2,NS
1,-1.52,2,0.1425237,0.025513441684541994,2,NS
1,-1.24,2,0.1587478,0.027666854514617305,2,NS
1,-0.69,2,0.2211013,0.035558810390564605,2,NS
1,-1.38,2,0.1726805,0.028359159415081835,2,NS
1,-2.77,2,0.1189301,0.020283078665915437,2,NS
2,-0.17,2,0.0910953,0.015099535096526978,2,NS
2,-0.65,2,0.077416,0.012728297483932444,2,NS
2,-1.38,2,0.0621229,0.011677659463901575,2,NS
2,-2.29,2,0.041198,0.015043537526978153,2,NS
2,-0.34,2,0.0940188,0.01534967984662364,2,NS
2,-0.81,2,0.0741297,0.012416163220788055,2,NS
2,-1.52,2,0.0513958,0.010776808109950551,2,NS
2,-1.24,2,0.0645845,0.014021899586066255,2,NS
2,-0.69,2,0.0757484,0.012659953621425355,2,NS
2,-1.38,2,0.061241,0.010229654401659715,2,NS
2,-2.77,2,0.0430268,0.008506284608961542,2,NS
3,-0.17,2,0.0458811,0.012167496042494733,2,NS
3,-0.65,2,0.0408268,0.011174606238862109,2,NS
3,-1.38,2,0.034412,0.010764037442047522,2,NS
3,-2.29,2,0.0345289,0.012951749456622644,2,NS
3,-0.34,2,0.0443369,0.012877040410926147,2,NS
3,-0.81,2,0.0389465,0.011642952615789735,2,NS
3,-1.52,2,0.0277236,0.00891161889329408,2,NS
3,-1.24,2,0.0331071,0.009742566221091545,2,NS
3,-0.69,2,0.0389229,0.010469067409428072,2,NS
3,-1.38,2,0.0339572,0.008042093308113254,2,NS
3,-2.77,2,0.0234883,0.0065979606648759286,2,NS
4,-0.17,2,0.017209,0.0050268437748500795,2,NS
4,-0.65,2,0.0154052,0.004610806099756962,2,NS
4,-1.38,2,0.0115275,0.006289979890730097,2,NS
4,-2.29,2,0.0062522,0.011320742610703594,2,NS
4,-0.34,2,0.0218332,0.005459058429632715,2,NS
4,-0.81,2,0.0186249,0.005073531544626583,2,NS
4,-1.52,2,0.0135728,0.0063975341492049885,2,NS
4,-1.24,2,0.0196531,0.01014069811089207,2,NS
4,-0.69,2,0.0155186,0.005030218452444089,2,NS
4,-1.38,2,0.0099218,0.0036814532345242415,2,NS
4,-2.77,2,0.0051434,0.004885161690376789,2,NS
