!  E0     Theta    Q^2      Sig        dSig   TPE-Blun TPE-Fesh idat Norm
 4702.00  23.822  2.6400 0.8395E+00 0.5147E-02  0.9947  1.0039  27. 0.029
 2262.00 105.696  3.2000 0.7778E-02 0.5215E-04  0.9673  1.0102  27. 0.029
 2842.00  59.686  3.2000 0.3329E-01 0.2155E-03  0.9839  1.0076  27. 0.029
 3772.00  37.368  3.2000 0.1175E+00 0.7297E-03  0.9915  1.0056  27. 0.029
 4702.00  27.570  3.2000 0.2646E+00 0.1596E-02  0.9943  1.0044  27. 0.029
 2842.00  95.607  4.1000 0.3015E-02 0.2095E-04  0.9685  1.0098  27. 0.029
 3772.00  48.885  4.1000 0.1857E-01 0.1145E-03  0.9888  1.0067  27. 0.029
 4702.00  34.229  4.1000 0.5003E-01 0.3183E-03  0.9938  1.0052  27. 0.029
 2234.80  21.970  0.6182 0.1098E+03 0.1147E+01  0.9970  1.0037  26. 0.015
 1147.80  47.970  0.6200 0.1734E+02 0.1648E+00  0.9945  1.0066  26. 0.015
 3114.30  15.970  0.6633 0.1892E+03 0.2112E+01  0.9976  1.0028  26. 0.015
 1147.80  59.990  0.8172 0.4813E+01 0.4601E-01  0.9913  1.0076  26. 0.015
 1881.70  33.950  0.8995 0.1464E+02 0.1417E+00  0.9942  1.0052  26. 0.015
 3114.30  19.460  0.9312 0.4802E+02 0.5014E+00  0.9964  1.0033  26. 0.015
 2234.80  31.950  1.1117 0.8938E+01 0.8932E-01  0.9937  1.0049  26. 0.015
 5494.10  12.990  1.3428 0.4055E+02 0.5072E+00  0.9970  1.0023  26. 0.015
 2234.80  42.970  1.6348 0.1184E+01 0.1244E-01  0.9901  1.0061  26. 0.015
 3114.30  32.970  2.0354 0.1017E+01 0.1020E-01  0.9921  1.0051  26. 0.015
 2234.80  58.970  2.2466 0.1522E+00 0.1671E-02  0.9848  1.0076  26. 0.015
 5494.10  17.960  2.2878 0.2866E+01 0.3574E-01  0.9958  1.0031  26. 0.015
 3114.30  40.970  2.6205 0.2125E+00 0.2167E-02  0.9899  1.0059  26. 0.015
 2234.80  79.970  2.7802 0.2868E-01 0.3418E-03  0.9772  1.0090  26. 0.015
 5494.10  20.470  2.7822 0.9824E+00 0.1179E-01  0.9956  1.0035  26. 0.015
 3114.30  49.970  3.1685 0.5568E-01 0.5959E-03  0.9874  1.0068  26. 0.015
 5494.10  22.970  3.2682 0.3770E+00 0.4438E-02  0.9955  1.0038  26. 0.015
 3114.30  61.970  3.7261 0.1487E-01 0.1742E-03  0.9832  1.0078  26. 0.015
 5494.10  25.470  3.7385 0.1608E+00 0.2216E-02  0.9956  1.0041  26. 0.015
 4103.90  38.970  3.7981 0.4919E-01 0.5685E-03  0.9918  1.0057  26. 0.015
 5494.10  27.970  4.1867 0.7749E-01 0.9853E-03  0.9957  1.0045  26. 0.015
 3114.30  77.970  4.2330 0.4260E-02 0.6351E-04  0.9764  1.0089  26. 0.015
 4103.90  45.960  4.4004 0.1582E-01 0.3295E-03  0.9904  1.0064  26. 0.015
 4412.70  44.980  4.7957 0.1098E-01 0.2217E-03  0.9915  1.0063  26. 0.015
 5494.10  32.970  5.0031 0.2149E-01 0.3101E-03  0.9959  1.0051  26. 0.015
 4412.70  50.990  5.2612 0.4898E-02 0.8628E-04  0.9899  1.0069  26. 0.015
 5494.10  35.480  5.3699 0.1267E-01 0.2372E-03  0.9960  1.0054  26. 0.015
 2445.00  20.500  0.6499 0.1188E+03 0.1655E+01  0.9971  1.0035  25. 0.019
  845.00  78.500  0.6643 0.4642E+01 0.6466E-01  0.9917  1.0089  25. 0.019
 3245.00  28.600  1.8071 0.2326E+01 0.3240E-01  0.9933  1.0045  25. 0.019
 1645.00  80.000  1.8263 0.1645E+00 0.2291E-02  0.9805  1.0090  25. 0.019
 2445.00  32.000  1.3014 0.5387E+01 0.7503E-01  0.9932  1.0050  25. 0.019
 3245.00  50.000  3.3653 0.4277E-01 0.6315E-03  0.9875  1.0068  25. 0.019
   57.30  86.600  0.0058 0.3536E+04 0.5049E+02  1.0094  1.0093  24. 0.046
   82.20  85.300  0.0115 0.1820E+04 0.2615E+02  1.0094  1.0093  24. 0.046
   82.40  85.400  0.0116 0.1789E+04 0.2105E+02  1.0094  1.0093  24. 0.046
   89.70  85.000  0.0135 0.1536E+04 0.1811E+02  1.0093  1.0092  24. 0.046
   95.60  84.700  0.0152 0.1383E+04 0.1630E+02  1.0093  1.0092  24. 0.046
   96.40  84.600  0.0154 0.1344E+04 0.1587E+02  1.0093  1.0092  24. 0.046
  102.20  84.300  0.0171 0.1214E+04 0.1435E+02  1.0092  1.0092  24. 0.046
  108.70  84.100  0.0192 0.1070E+04 0.1404E+02  1.0092  1.0092  24. 0.046
   90.40 115.900  0.0206 0.3408E+03 0.7366E+01  1.0125  1.0105  24. 0.046
  118.60  93.700  0.0264 0.5380E+03 0.7121E+01  1.0100  1.0097  24. 0.046
  129.50  93.200  0.0309 0.4616E+03 0.6135E+01  1.0099  1.0096  24. 0.046
  149.80  28.000  0.0052 0.6049E+05 0.1192E+04  1.0042  1.0045  23. 0.035
  149.80  40.000  0.0101 0.1378E+05 0.1298E+03  1.0054  1.0058  23. 0.035
  149.80  45.000  0.0126 0.8195E+04 0.7976E+02  1.0058  1.0063  23. 0.035
  149.80  50.000  0.0152 0.5250E+04 0.5977E+02  1.0062  1.0068  23. 0.035
  149.80  55.000  0.0179 0.3485E+04 0.2996E+02  1.0066  1.0072  23. 0.035
  149.80  60.000  0.0208 0.2400E+04 0.2000E+02  1.0069  1.0076  23. 0.035
  149.80  65.000  0.0237 0.1667E+04 0.1399E+02  1.0073  1.0080  23. 0.035
  149.80  70.000  0.0267 0.1194E+04 0.1197E+02  1.0077  1.0084  23. 0.035
  149.80  75.000  0.0297 0.8681E+03 0.9967E+01  1.0081  1.0087  23. 0.035
  180.10  28.000  0.0074 0.4166E+05 0.7974E+03  1.0041  1.0045  23. 0.035
  180.10  40.000  0.0145 0.9273E+04 0.7994E+02  1.0052  1.0058  23. 0.035
  180.10  45.000  0.0180 0.5537E+04 0.4988E+02  1.0056  1.0063  23. 0.035
  180.10  50.000  0.0217 0.3548E+04 0.2990E+02  1.0059  1.0068  23. 0.035
  180.10  55.000  0.0256 0.2313E+04 0.1698E+02  1.0063  1.0072  23. 0.035
  180.10  60.000  0.0296 0.1588E+04 0.1100E+02  1.0066  1.0076  23. 0.035
  180.10  65.000  0.0337 0.1106E+04 0.7996E+01  1.0070  1.0080  23. 0.035
  180.10  70.000  0.0379 0.7969E+03 0.6982E+01  1.0073  1.0084  23. 0.035
  180.10  75.000  0.0421 0.5839E+03 0.5978E+01  1.0077  1.0087  23. 0.035
  199.60  28.000  0.0091 0.3313E+05 0.6986E+03  1.0040  1.0045  23. 0.035
  199.60  40.000  0.0178 0.7317E+04 0.9996E+02  1.0051  1.0058  23. 0.035
  199.60  45.000  0.0220 0.4430E+04 0.4989E+02  1.0054  1.0063  23. 0.035
