j,t,mu,f,delta f,GPD type,flavor
0,-1.11,2,0.2562199527557625,0.0128109976377881,0,NS
0,-1.21,2,0.2378566585225572,0.0118928329261278,0,NS
0,-1.3099999999999998,2,0.2214904479446907,0.0110745223972345,0,NS
0,-1.41,2,0.2068188406611769,0.0103409420330588,0,NS
0,-1.5099999999999998,2,0.1935994518472694,0.0096799725923634,0,NS
0,-1.61,2,0.1816351681269228,0.0090817584063461,0,NS
0,-1.71,2,0.1707636387182004,0.00853818193591,0,NS
0,-1.81,2,0.1608496597143848,0.0080424829857192,0,NS
0,-1.91,2,0.1517795440973126,0.0075889772048656,0,NS
0,-2.01,2,0.1434568844514631,0.0071728442225731,0,NS
0,-0.01,2,-0.3490511014365471,0.0305217950664364,1,S
0,-0.1099999999999999,2,-0.2698920755616794,0.0580263703464601,1,S
0,-0.21,2,-0.2362366280547925,0.0496322000276629,1,S
0,-0.31,2,-0.2035586451094145,0.0442713609593974,1,S
0,-0.41,2,-0.1734273196695878,0.0401415906078317,1,S
0,-0.5099999999999999,2,-0.1474044087544069,0.0365055173830564,1,S
0,-0.61,2,-0.1254777063186417,0.0330481181243211,1,S
0,-0.71,2,-0.1071049794174279,0.0297072228051649,1,S
0,-0.8099999999999999,2,-0.0916773632044029,0.0265224601561926,1,S
0,-0.91,2,-0.0786596129826099,0.023551431409221,1,S
0,-1.0099999999999998,2,-0.0676146840395555,0.0208367032873874,1,S
0,-1.11,2,-0.0581938176040419,0.0183986778006213,1,S
0,-1.21,2,-0.0501196104763808,0.0162386945640119,1,S
0,-1.3099999999999998,2,-0.0431703210277584,0.0143447917741624,1,S
0,-1.41,2,-0.0371672480740553,0.012697084805943,1,S
0,-1.5099999999999998,2,-0.0319650659877331,0.0112718586450338,1,S
0,-1.61,2,-0.0274445366752538,0.0100443446731615,1,S
0,-1.71,2,-0.0235070168633283,0.00899043879268,1,S
0,-1.81,2,-0.0200702913907413,0.0080876594652085,1,S
0,-1.91,2,-0.0170653813293203,0.0073155996369332,1,S
0,-2.01,2,-0.0144340717259851,0.00665606287632,1,S
0,-0.01,2,3.587837184872821,0.179391859243641,1,NS
0,-0.1099999999999999,2,2.671455364136805,0.1335727682068402,1,NS
0,-0.21,2,2.0938213842207216,0.104691069211036,1,NS
0,-0.31,2,1.6939954427224686,0.0846997721361234,1,NS
0,-0.41,2,1.3994044448044929,0.0699702222402246,1,NS
0,-0.5099999999999999,2,1.1739387292688752,0.0586969364634437,1,NS
0,-0.61,2,0.9968841341523884,0.0498442067076194,1,NS
0,-0.71,2,0.8551642614857874,0.0427582130742893,1,NS
0,-0.8099999999999999,2,0.739993140455969,0.0369996570227984,1,NS
0,-0.91,2,0.6452107670385591,0.0322605383519279,1,NS
0,-1.0099999999999998,2,0.5663625451169263,0.0283181272558463,1,NS
0,-1.11,2,0.5001495180680873,0.0250074759034043,1,NS
0,-1.21,2,0.4440812090654457,0.0222040604532722,1,NS
0,-1.3099999999999998,2,0.3962470877254624,0.0198123543862731,1,NS
0,-1.41,2,0.3551612143861883,0.0177580607193094,1,NS
0,-1.5099999999999998,2,0.3196538806415987,0.0159826940320799,1,NS
0,-1.61,2,0.2887944097257741,0.0144397204862887,1,NS
0,-1.71,2,0.2618351598573988,0.0130917579928699,1,NS
0,-1.81,2,0.2381702712416377,0.0119085135620818,1,NS
0,-1.91,2,0.2173048565248296,0.0108652428262414,1,NS
0,-2.01,2,0.1988317086323456,0.0099415854316172,1,NS
0,-0.17,2,2.270734,0.6840150023484116,0,S
0,-0.65,2,1.340932,0.4040664915736083,0,S
0,-1.38,2,0.7800318,0.2406691717178334,0,S
0,-2.29,2,0.4574632,0.1784615576730507,0,S
0,-0.34,2,1.792254,0.5398668275320728,0,S
0,-0.81,2,1.09533,0.3308404844742809,0,S
0,-1.52,2,0.5682744,0.1760768120464077,0,S
0,-1.24,2,0.7346491,0.2237678577279342,0,S
0,-0.69,2,1.308292,0.3937209144267121,0,S
0,-1.38,2,0.6922986,0.2091119792319866,0,S
0,-2.77,2,0.3500663,0.1067792697378554,0,S
1,-0.17,2,0.492273,0.1491674933342167,0,S
1,-0.65,2,0.3834299,0.116547614516561,0,S
1,-1.38,2,0.2722512,0.0844663293316437,0,S
1,-2.29,2,0.2116517,0.0791698908610603,0,S
1,-0.34,2,0.4104237,0.1245940017294291,0,S
1,-0.81,2,0.3122573,0.0947181307948642,0,S
1,-1.52,2,0.2115152,0.0660393233967891,0,S
1,-1.24,2,0.2490443,0.076803096696738,0,S
1,-0.69,2,0.371866,0.1126669912224024,0,S
1,-1.38,2,0.2435937,0.074490584882887,0,S
1,-2.77,2,0.1600627,0.0499244436458635,0,S
2,-0.17,2,0.1614467,0.0495230749774536,0,S
2,-0.65,2,0.1210397,0.0369877032857562,0,S
2,-1.38,2,0.0882172,0.0280210793898236,0,S
2,-2.29,2,0.0740969,0.0301532889524923,0,S
2,-0.34,2,0.1379742,0.0423798050028496,0,S
2,-0.81,2,0.106461,0.0332701254395244,0,S
2,-1.52,2,0.0712112,0.0242855708513038,0,S
2,-1.24,2,0.0890284,0.0287009074698065,0,S
