x,t,mu,f,delta f,GPD type,flavor
0.39698492,-1.38,2.0,0.3824993921262206,0.1389564562980404,1,NS
0.42713568,-1.38,2.0,0.3414339185146321,0.1246103925887806,1,NS
0.45728643,-1.38,2.0,0.3025721738985257,0.1111765107027566,1,NS
0.48743719,-1.38,2.0,0.2654410664873473,0.0985080733282292,1,NS
0.51758794,-1.38,2.0,0.2298265653852633,0.0864861385047192,1,NS
0.54773869,-1.38,2.0,0.1956752651218597,0.0751329556409321,1,NS
0.57788945,-1.38,2.0,0.1630959961540505,0.0646425022635344,1,NS
0.6080402,-1.38,2.0,0.132378176577345,0.0552932178321836,1,NS
0.63819095,-1.38,2.0,0.1039418215552289,0.0472923869979101,1,NS
0.66834171,-1.38,2.0,0.0782028724972278,0.0406545270088015,1,NS
0.39698492,-0.34,2.0,0.5480755284391683,0.1991414685582069,1,NS
0.42713568,-0.34,2.0,0.438870701462853,0.1669464532879511,1,NS
0.45728643,-0.34,2.0,0.3477632276691282,0.1408757948572714,1,NS
0.48743719,-0.34,2.0,0.2718513361820905,0.1196811748501328,1,NS
0.51758794,-0.34,2.0,0.2089058109125555,0.1021233968862024,1,NS
0.54773869,-0.34,2.0,0.1567980011369198,0.0872827164672569,1,NS
0.57788945,-0.34,2.0,0.1135048743119712,0.0747660913988034,1,NS
0.6080402,-0.34,2.0,0.0773742095231806,0.064576579069449,1,NS
0.63819095,-0.34,2.0,0.0472833119441986,0.0567271073146066,1,NS
0.66834171,-0.34,2.0,0.0225135703551083,0.0509207670128707,1,NS
0.39698492,-1.24,2.0,0.30915863758516,0.125606060953966,1,NS
0.42713568,-1.24,2.0,0.241955268866909,0.1063900361051966,1,NS
0.45728643,-1.24,2.0,0.185001757425269,0.0908721030084778,1,NS
0.48743719,-1.24,2.0,0.1381628702352693,0.0785323427604734,1,NS
0.51758794,-1.24,2.0,0.1008836111784434,0.068577075320181,1,NS
0.54773869,-1.24,2.0,0.0720513437443454,0.0603419067041589,1,NS
0.57788945,-1.24,2.0,0.0502220629467663,0.0535237684660705,1,NS
0.6080402,-1.24,2.0,0.0339783406121865,0.0480609307350388,1,NS
0.63819095,-1.24,2.0,0.0221611789001193,0.0438382386868346,1,NS
0.66834171,-1.24,2.0,0.0138783197166544,0.0405245551394862,1,NS
0.39698492,-0.81,2.0,0.4299370505251123,0.1539828607536968,1,NS
0.42713568,-0.81,2.0,0.3381920866051131,0.1272894422808153,1,NS
0.45728643,-0.81,2.0,0.2591947780922749,0.1047635335779461,1,NS
0.48743719,-0.81,2.0,0.1926077320922789,0.0861864134029504,1,NS
0.51758794,-0.81,2.0,0.1378096222537558,0.071122077525764,1,NS
0.54773869,-0.81,2.0,0.0936650480074276,0.0591119691211187,1,NS
0.57788945,-0.81,2.0,0.0587452754826757,0.0498613777671959,1,NS
0.6080402,-0.81,2.0,0.0316955277824794,0.0431738389349849,1,NS
0.63819095,-0.81,2.0,0.0114445619605819,0.0386718089281422,1,NS
0.66834171,-0.81,2.0,-0.0028671900883461,0.0356548526947641,1,NS
0.305,-0.17,2.0,1.256866,0.3792603411800923,2,NS
0.345,-0.17,2.0,1.184349,0.3571820462608528,2,NS
0.385,-0.17,2.0,1.112996,0.3355104593860525,2,NS
0.425,-0.17,2.0,1.042058,0.3140104230877694,2,NS
0.465,-0.17,2.0,0.972057,0.2928334826849723,2,NS
0.505,-0.17,2.0,0.903468,0.2721146127225806,2,NS
0.545,-0.17,2.0,0.83623,0.2518255196460438,2,NS
0.585,-0.17,2.0,0.770267,0.2319354703727094,2,NS
0.625,-0.17,2.0,0.705995,0.2125649684855197,2,NS
0.665,-0.17,2.0,0.644034,0.1938985671943967,2,NS
0.305,-0.65,2.0,0.95881,0.289994713569058,2,NS
0.345,-0.65,2.0,0.910351,0.2751565029453056,2,NS
0.385,-0.65,2.0,0.861871,0.2603470766855084,2,NS
0.425,-0.65,2.0,0.812919,0.2454331849740168,2,NS
0.465,-0.65,2.0,0.763856,0.2305229762653605,2,NS
0.505,-0.65,2.0,0.71498,0.2157002652664108,2,NS
0.545,-0.65,2.0,0.666254,0.2009463631107565,2,NS
0.585,-0.65,2.0,0.617693,0.1862611344387497,2,NS
0.625,-0.65,2.0,0.569698,0.1717642169759464,2,NS
0.665,-0.65,2.0,0.522801,0.1576153007327968,2,NS
0.305,-1.38,2.0,0.663062,0.2037063043966975,2,NS
0.345,-1.38,2.0,0.632106,0.1940998691917127,2,NS
0.385,-1.38,2.0,0.60141,0.1845857506120123,2,NS
0.425,-1.38,2.0,0.570366,0.1749945881450052,2,NS
0.465,-1.38,2.0,0.539019,0.1653421229103158,2,NS
0.505,-1.38,2.0,0.507497,0.1556571864284139,2,NS
0.545,-1.38,2.0,0.475769,0.1459195245451752,2,NS
0.585,-1.38,2.0,0.443843,0.1361293777970427,2,NS
0.625,-1.38,2.0,0.411949,0.1263613248193053,2,NS
0.665,-1.38,2.0,0.380404,0.1167164207189374,2,NS
0.305,-0.34,2.0,1.027147,0.3113676343308822,2,NS
0.345,-0.34,2.0,0.973629,0.2949647381767691,2,NS
0.385,-0.34,2.0,0.919951,0.2785647390770949,2,NS
0.425,-0.34,2.0,0.865763,0.2620559963275216,2,NS
0.465,-0.34,2.0,0.811545,0.2455792982342974,2,NS
0.505,-0.34,2.0,0.757665,0.2292339901154494,2,NS
0.545,-0.34,2.0,0.704091,0.2129956093122344,2,NS
0.585,-0.34,2.0,0.650832,0.1968565891814648,2,NS
0.625,-0.34,2.0,0.59832,0.1809443149701034,2,NS
0.665,-0.34,2.0,0.547142,0.1654373137588978,2,NS
0.305,-1.24,2.0,0.575465,0.1794821226647657,2,NS
0.345,-1.24,2.0,0.550852,0.1713760666264691,2,NS
0.385,-1.24,2.0,0.526034,0.1632653221754086,2,NS
0.425,-1.24,2.0,0.500826,0.1551120014855072,2,NS
0.465,-1.24,2.0,0.475407,0.1469757853267333,2,NS
0.505,-1.24,2.0,0.449863,0.1388646495628387,2,NS
0.545,-1.24,2.0,0.424063,0.1307165246371322,2,NS
0.585,-1.24,2.0,0.397908,0.1224923294813189,2,NS
0.625,-1.24,2.0,0.371536,0.1142403700345897,2,NS
0.665,-1.24,2.0,0.345217,0.1060502942664941,2,NS
0.305,-0.81,2.0,0.787455,0.2396492727555207,2,NS
0.345,-0.81,2.0,0.747377,0.2272751973612826,2,NS
0.385,-0.81,2.0,0.707206,0.21490219514756,2,NS
0.425,-0.81,2.0,0.666839,0.2025095052038051,2,NS
0.465,-0.81,2.0,0.626708,0.1902313890890775,2,NS
0.505,-0.81,2.0,0.587045,0.1781288012738254,2,NS
0.545,-0.81,2.0,0.547697,0.1661408677954042,2,NS
0.585,-0.81,2.0,0.508527,0.1542164125526527,2,NS
0.625,-0.81,2.0,0.469756,0.142420110441749,2,NS
0.665,-0.81,2.0,0.431797,0.1308790312800717,2,NS
